age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,ext_0,ext_1,ext_2,ext_3,ext_4,ext_5,ext_6,ext_7,ext_8,ext_9,ext_10,ext_11,ext_12,ext_13,ext_14,ext_15,ext_16,ext_17,ext_18,ext_19,ext_20,ext_21,ext_22,ext_23,ext_24,ext_25,ext_26,ext_27,ext_28,ext_29,ext_30,ext_31,ext_32,ext_33,ext_34,ext_35,ext_36,ext_37,ext_38,ext_39,ext_40,ext_41,ext_42,ext_43,ext_44,ext_45,ext_46,ext_47,ext_48,ext_49,ext_50,ext_51,ext_52,ext_53,ext_54,ext_55,ext_56,ext_57,ext_58,ext_59,ext_60,ext_61,ext_62,ext_63,ext_64,ext_65,ext_66,ext_67,ext_68,ext_69,ext_70,ext_71,ext_72,ext_73,ext_74,ext_75,ext_76,ext_77,ext_78,ext_79,ext_80,ext_81,ext_82,ext_83,ext_84
1,BFRL1,46,3ZTE8,2,M8RID,QIEM1,BV4LF,CE588,SPXVW,86,48,21,BTR63,<=50K,9DV0C,EO979,9XIDD,BOHHH,B4PDC,7VRTA,6C3Z7,TAKYI,7FYH4,Y55VF,2J58X,1YS11,3O7UP,ZFFGV,ZXIFA,7PA0T,F9O9L,60OX4,TR8V4,CKJW7,F4UL4,BNN5Y,J12EU,G2CPS,DJWQQ,36IVO,GA4SJ,0OATR,8P8HC,XA2A9,ITTW9,MG58F,4U8TQ,FYTCJ,2EZVJ,BFY1R,ZVCAS,I27WD,I1HPF,IR085,2MOJN,YCQ7G,8ZM6A,C7W5S,CPK4U,W3V51,ZWIKY,JWLCB,5BA4L,JG6UN,0RVZD,1L8XQ,KND1K,C4KZH,V4HME,96MPZ,HA257,9SPCH,GKQOH,APRBH,291V6,EL4S0,GR93E,ZE2G2,89DKV,HUMGR,YH5P6,JYWQ9,01GEI,ZJDLY,4CAO3,B3HJ1,Z5JOL,S7RRM,N4Q5F,6QWOV,CZNPB,UUA9H,CU27U,DUTUK,396R0,X7GD1,EWAN8,U6J4G,F82D2
46,AIN7M,78,W1CS6,67,4LR9Q,O4GJX,T3U02,HLU8W,2EA25,1,76,71,LQAUI,>50K,RYF34,YZV67,D59LH,FBP2J,2D85S,79GAK,WGIFE,56EKJ,BN5JI,KKIC0,JZQ5M,1KGEI,GWDWV,T9YSS,HO9CM,Q6PEK,0UZFQ,O92M2,EF31Q,ZPOGT,QTYDN,AQZ21,8KEG6,U2MAX,NLNDE,C6JI8,J6RGS,KX8R4,7220S,HXKBZ,MDNLS,S0TXZ,EYOC0,ON70C,W5JRD,P4NOE,PUXHQ,65RD2,NKM01,P5LXO,8W1WN,TS6ZB,0GGLN,D77BC,KV8F8,4A4TH,VJ6VU,QEADE,H3FPE,BRC5Y,PN7OD,4E746,63VTS,UTIBL,JPJ7C,2JBLT,84NBE,9NFHN,PHH8Z,XJ84U,291V6,QMJQY,IEPPA,YQ8WX,EDAYR,EO24I,OUUKR,2SEIM,DC9A3,OFR4K,0RJ0V,FGPHS,R3LRC,BBV8G,72EOB,A92DW,I4KIX,O2WJT,D1KR6,CEGXH,N11GZ,Z7PMH,9DFLX,7JT34,SV4MX
97,O6B4Y,21,YHTSJ,79,27D84,KICKS,5J04L,HIX4Z,SB1G9,22,4,17,95SDI,<=50K,ZLZLP,00TX0,BQAR6,OPOP7,SWX0M,WB348,ZF1GQ,HP39C,1PLED,WDSXI,VNUF8,8E8SB,V48DX,RSQJ7,WMN6P,XJPAM,XLJCH,V80DL,44E5P,ZTINW,X7GT0,BBD02,OU66T,786L2,62CKQ,QBUFB,FMUKM,QE0AF,XFLRD,4WUDP,IV1RA,Q2OCU,A73UJ,B38A8,KF2GE,DL1FJ,ABBQJ,P6KAM,NN8Y2,TVRT6,YPUAD,AU25O,L2DN5,52U8Z,QEHCM,QBCEW,QV42R,T70N9,T8PBR,1GJ4Z,FSAWB,WMTJQ,5QXNB,X0GNE,6MIXH,O3NP6,CW32O,3DSAL,4DUX5,NGRPH,L0GU0,XL6MD,05FG9,O8H9W,UUBQO,V8KIB,PVGSY,HDJY0,1I9NY,217AH,1OHIK,FZOYH,HX7AU,XZ0UL,9MED4,5AEF5,C7VRE,6DVYC,NSKAB,O9JTI,H0MI8,7LKBM,HGQO9,9HOBF,QZ04N
6,90XLV,26,7CK05,56,S8B9Q,PGKOI,71DN9,MUUMH,3TAIZ,57,71,75,WQ55Z,<=50K,V4U8F,6J40K,B5ZAC,4YH2Y,T26D5,3W292,29F78,IDMDV,TM0AA,2UTZG,X4OHV,84MRF,UH96H,4FBRP,4LXIO,7PA0T,V1QST,O56H9,EMGLN,ZTINW,KUXLT,RLE9I,K3HCB,09H11,ZEXNB,OYCGK,ESSK0,P69QX,3I3MX,R5UFH,JRQVO,NT66P,NNCXZ,3D7IQ,CEH3H,TOC6X,UZNZ6,H5DAH,728DO,SHA2F,O5IE8,KNJQJ,6WFWJ,LOTAZ,T6WNK,TUFNU,KZDI1,6SFEF,1LL5P,TL1WX,CUC20,DL2TL,7OLV8,MZ9Z7,2JMQN,6JEJZ,14T7E,5HVVO,CQJQH,6F69L,SDAMG,NHSSA,IEPPA,H41MC,0OFOU,WMHG9,CWA3N,OHQXN,5BYIU,P05SM,HHAT0,XIWGD,Z5JOL,LWRUM,FYGIB,N4W61,O4GF1,3O1RT,LUNIJ,CNQRS,AD19L,F4N19,PR9AJ,7Z3YM,2L7TI
18,90XLV,89,FGI3E,38,4FVOJ,9UXMO,RD239,R33E3,7H0P8,54,77,15,9TS1L,>50K,M1NHC,BHXZE,K7BAG,0CO6S,3300V,KV96T,6A18M,O4S92,JIHVU,VQG2C,5ZRQD,M0874,R0BZ1,RSQJ7,A9GQ0,ZD7F6,722FA,10TWX,RZZ20,D50H2,W9XNZ,PQEZ8,AQNQD,FGY9M,K8NO7,1I71X,SZ9E9,91CLS,8Z0NU,60S7C,R0XAD,HTU47,PLVBL,E4LZA,1HDC2,H2LOQ,36I9B,8W9VR,F0LHE,SWF0E,D66WZ,M286J,HBML7,Q0QVS,3IEWQ,0SMB1,529XB,N9UT1,A0I6H,KP2I3,QM7W6,OAQW0,7IV5V,QO9PJ,GGX2A,CRZIN,NQ6HS,HEJTD,1T1EW,C2IYX,MEQWO,HMYQM,7ASIZ,IJ5EI,5ZHT5,39PVH,89QZB,YM07O,T0HRO,MMRT0,AHEB3,34HPZ,LVUSX,T1Y9V,MCNFR,VT9K1,6R46J,0R6RT,L3MSF,CQYP5,NPFG7,JFXED,XVS47,3MB5W,HCYY0
68,8U97Q,50,VBHAW,82,T9MGY,CPNQO,375KQ,JC5L2,DQF3G,15,100,0,5FBQ1,>50K,XKJKC,MFPVG,XJZPU,6VEIH,UKMVX,ZASJO,NWA0M,OKATF,RX496,92OHR,1ECUM,2JSBT,DCN3J,NJNGI,GDEYV,57VBJ,HV1VR,MJ4TP,95DY5,XFZMG,10FNB,6TIPV,BDOCY,TVI9D,JNE5P,J3KZY,5IBWI,KLH0Y,AI0ZC,7EGE0,XKT17,UR2IG,T49KB,5JZXG,GW0LB,0JM4O,7KWAV,MM2XP,7R1T7,86RJC,756E4,OMLER,7PK1M,JQG8F,PZV7L,T47QC,XEHC9,WAASZ,80WWS,51ULR,TGY70,2F4AD,OY3QL,JE1RD,VZER9,Z5HJM,NQ6HS,0IU4I,ARPTH,GQ8P4,EJPC4,UHS1Y,L8SBG,XGHGX,A25GK,ISMI4,QDTH8,2W2BJ,U6W93,7SWSH,2Q4OZ,00XTM,R1SNJ,57T2A,ULZMS,8XAJ8,26ML1,EH7DS,UPO6J,269AI,YP2NM,3TTHU,KMMUG,5NJKU,UNN8V
0,Y8XQE,10,LR79Q,45,6QRAU,FJCNC,I67M4,HT6FJ,XDHD5,17,54,92,72CT1,>50K,EA8C4,X0B2I,7LG5L,XNLB3,6O00R,V43O6,ENKC9,54KGK,I50S2,WBMNG,N5H14,KCB2J,58U4W,03YOV,F9BXV,P6RZY,8RCH7,ULTM0,61N49,XS3ML,1NR0M,ML7SK,L7OSL,WR5NB,C6AIS,UKQ7U,J3N4V,WWDAI,DBDL1,IG9YV,J96JR,ZWLHD,9F7TW,CVX1R,YAWY8,TVY99,ZTQC0,7F15E,NXLMK,YBUX7,PYBR8,CLO07,JDSDT,42990,8DSBP,7R9WF,CQOCJ,DJ3WE,136ZR,WS5GE,YKNPD,9EH1O,6NLF3,18ALX,TJIDB,SS0BO,P91DN,I7A67,EDJB3,GUN0N,83LW1,1ZTYS,WZN1D,XIV48,1673C,J11GI,FHWR0,07HGF,ROA1H,ZJDLY,H4WOE,B51FB,48VRC,95U5B,NMW0P,RBHH9,UWHWI,9QIS1,PVB5P,TVTU4,CDR17,1UI76,YGFMS,3K6XW,S6U1F
94,CFC5J,21,VOV6Z,14,KUOEW,7XPYF,C4IOK,GG1NE,E8QO2,30,49,41,FZPSE,>50K,9DV0C,U5XH2,ST1VI,JQJZJ,VSIUZ,LRLKZ,UKWKZ,M5YSL,H0YRR,09F7U,T24RC,6WBE6,0DU81,A8E2A,IMB20,7FJ3Y,YTM3B,0JDJW,EC8K1,XWGAP,ZYNN9,6NIQ3,UWS5N,09H11,JNZK3,1YPGN,EEFF0,PFR4B,9VUFP,8WWQQ,0RKG1,1TGJX,9FWZT,ONX41,IRCQO,H9Z8B,597OU,8PEC0,2MQD2,664W4,YZ1NY,SC465,IDS1M,MWNWJ,TIH5K,USAP3,VZYH5,0WWY1,9VX58,1EGX2,SPR5M,H3IY2,RQJW5,OA86I,L7DKO,XP9UD,WAR4B,LDQHQ,8JHN2,Z2TVB,PAGWF,PU8S3,2BPRT,5NEJO,ZL6RP,39PVH,6DDE5,9D0I2,DWGXP,8S33B,E6J86,1EJ0U,4FTIG,H25AA,4699K,TZ2H2,9UDIF,S9XOI,7UH77,SL8MK,8CURX,BSU1D,F9MIL,EQZ0L,UBNLC
71,1N092,37,64S4P,94,43EPO,KNSYI,XZW0G,M1AGF,CAB69,0,5,63,R9UGH,<=50K,RJ643,D3XFO,AXLM9,RNMG3,UOEEW,LY2VC,3CDA7,O137L,I11ZY,OX30N,U6SX1,W1CR2,XI7O3,OCQFE,HDD0T,RMWMF,1KAKW,M51TG,ORMSJ,ZTINW,EZHLY,T5ZX0,18EVI,3XMOP,6RKC4,AGZEQ,NJH62,DLMLH,1FLKY,GE957,CN6NI,IFO72,6WSSS,95DX9,00VM9,S906V,75SX0,DOBTP,SE40T,1VVJ4,JP2C6,MFRB4,WYFJH,F5THU,38V0U,TUFNU,J1ZMX,ONQSM,T1GZL,SYDS4,UEZ5F,YOKUE,NKUBR,8T03K,49MSI,A9NAH,6EGJZ,F9ZE5,NF0YD,BFNAH,MQHJT,WT0U7,DF5MP,MS28M,82A3Y,TI32G,CMAAB,I5P87,DXLIE,IIUZ4,8PM5L,J4UWD,48VRC,B5U97,46KKD,S1Z2J,6LUR2,KJQTG,7UX2A,II4YK,0RGUL,PUOK6,X4X7Q,XRZAN,T2MYH
78,U1XG0,82,M2C86,2,E0JPS,8SJ02,BV4LF,SOH0R,501VY,14,47,93,1J02M,>50K,I7OTH,SSSG0,CNBXL,JS8UE,VFT21,KOY2G,ITI6Z,Y4YGL,MNH76,2NDTE,ODO94,9GFKR,XI7O3,I118O,Q1YIX,E4IVD,5LU1H,X2DDE,C598L,O4175,JGGRF,VS6K8,GB3VF,388EN,F8P8X,KRBYG,VCAFX,HWCXA,53MBQ,WPAHA,MDNLS,63P4D,D3WJR,ALGTI,R5VXR,TPX0R,KJ1TO,QGKMO,G3KRJ,2BV3S,06QA4,NNUW4,G33LO,1GA85,Z2M3I,CGRGS,1CD7V,D3WY0,279PZ,1WDFI,264A0,ORC3V,U3VT2,Z4CHX,3231K,GL097,RGR3N,SSZ7V,FC1VO,EOWJ9,AK6IC,W553W,2IVSI,KSQ6I,D709H,QFCEA,4NH4J,UXUMO,AB0X8,DY0AT,36858,DCSDA,DD8ZO,DBY6B,9MED4,VJQKZ,QBNM9,SIRJM,XGTN9,O9JTI,YINPR,5HBN0,1MI6J,5NJKU,09D1K
