w1,d0,d1,d2,d3,d4,label
10:1.5,118:2011:2242:252:1337:2725:2806:2713:2210:79,1405:806:2504:2903:2948:886:50:2215:1638:112,2253:2570:611:1731:289:2773:2917:11:1146:725,187:305:1183:100:1930:980:162:1091:2900:2616,307:404:1596:1035:2094:2400:2536:1339:1201:575,0
10:1.5,936:482:2970:479:434:1540:2113:337:1924:471,1328:2509:1101:2533:114:2181:1021:1540:1688:1687,755:476:2646:543:600:83:347:2936:2104:281,1008:2764:1187:1271:1570:151:1445:2071:1701:474,2934:609:2116:2175:1865:1806:1502:193:1820:2120,1
10:1.5,476:2773:880:2669:1801:515:1747:2789:96:29,836:1052:585:2578:1280:210:307:1786:610:2546,1262:1443:1526:189:682:2056:2754:1444:987:488,2127:2197:357:1328:852:2594:33:1290:2138:838,2757:2739:762:1116:2454:2284:2488:2354:1100:865,0
10:1.5,1215:1445:400:1932:1946:2235:1392:2448:167:919,410:775:1195:1124:922:307:2449:1622:2131:1342,2994:248:2112:2107:1511:1450:1448:262:1149:2796,269:35:1442:550:2481:2717:1156:2120:927:1761,2372:547:1070:1264:457:1566:2001:459:1185:1964,1
10:1.5,395:2815:422:2790:250:573:969:1480:1974:854,1057:1322:2676:2981:2759:2671:589:2868:2546:31,2938:1387:1179:200:2998:1517:2745:2233:1304:1136,687:2032:2114:2764:1877:380:2331:1174:2718:1257,930:291:2317:789:2724:408:1537:1969:1555:1946,0
10:1.5,1250:2548:137:346:478:1115:1383:655:1229:471,348:2045:1471:817:2864:2556:1658:896:2264:1354,2771:1147:832:2025:363:2076:799:221:437:1480,1507:599:779:141:1639:2936:1892:688:1658:1059,2207:1476:1214:586:495:2677:1677:2733:2476:997,1
10:1.5,1633:735:2760:1693:2350:2959:2093:386:353:1056,1720:1031:1840:1268:564:2931:201:1271:631:1994,2154:2285:2776:2388:2919:220:2821:1543:513:2220,2125:2143:1506:1417:392:1679:1022:2542:1204:2231,1949:179:2182:2059:1636:987:1004:518:2890:1586,0
10:1.5,2861:449:619:1762:971:1175:1094:1640:878:2348,2505:2508:2950:1795:1749:662:1471:1961:887:580,1853:2181:2762:2804:1495:2290:1182:1147:436:746,2684:1837:2785:1672:246:1727:2708:849:1739:376,134:1719:1119:2300:395:2214:2896:2977:884:1639,0
10:1.5,1650:1227:2500:1812:2530:782:1057:1265:1280:1647,2161:843:1106:1279:162:2159:66:2878:2583:2513,2303:2642:167:161:1358:1550:444:572:1287:646,176:2673:301:147:786:507:2568:2704:1041:1788,382:85:998:769:115:1681:1785:1579:1266:612,1
10:1.5,837:1177:1034:820:606:2004:713:2401:1937:2566,1037:699:2993:1005:752:966:2919:1425:1310:2310,1740:2191:1538:889:1774:979:759:2508:965:484,469:424:1032:1303:1804:1464:2930:751:891:1567,626:2413:1130:2664:1111:900:1545:1691:123:1391,0
10:1.5,2761:2240:465:2041:2166:152:1257:1625:1905:937,1869:71:1319:213:1239:1879:1719:773:2319:2476,2789:565:90:2084:2784:263:2098:2264:648:421,1894:1910:1378:2312:1516:1356:316:1985:2394:2357,1153:1293:2193:1544:1825:1020:2178:2560:2029:660,0
10:1.5,2576:2037:2168:2213:2256:403:954:1539:2053:660,868:1663:405:2329:941:2105:1650:947:1384:2700,2622:1558:2961:1660:1379:2091:1857:1057:1856:429,1918:1723:2985:1594:1864:2618:1113:2025:2603:230,126:2029:1643:1916:1319:1555:576:457:1705:2050,1
10:1.5,2883:2661:505:120:46:2344:797:475:1769:281,295:2842:2981:1373:2497:169:1117:198:567:2489,698:2327:1929:1701:237:2007:2945:2377:1255:2216,761:1485:2963:2373:2753:2011:1900:504:1534:403,1474:2904:856:764:2584:1006:1069:1374:2731:1349,1
10:1.5,524:2954:2452:388:1517:753:2465:1888:1344:2626,1044:965:2556:22:521:932:2293:973:1024:453,2918:80:131:1896:227:448:546:2094:2809:972,893:212:2221:798:2530:1111:2926:871:830:201,1253:274:756:2411:1439:1501:1714:1714:228:2524,0
10:1.5,233:1369:232:1274:1412:1302:2376:748:93:946,1731:954:1880:1852:2585:458:1992:2302:1117:2816,1301:1365:1569:669:2506:625:2883:1313:2710:1323,1900:1675:2474:2343:659:2956:2678:2168:1882:1466,2519:1223:2206:2495:1841:513:797:129:2606:2520,1
10:1.5,1748:139:890:1916:2450:890:2576:458:2892:990,723:752:2991:890:630:349:748:2772:648:9,1791:997:1217:407:2928:2659:889:680:102:1779,2489:923:2416:1871:876:1131:100:348:1873:884,454:1967:1609:118:1975:441:1470:247:2981:2118,0
10:1.5,1374:1877:2751:2135:2229:1561:1969:2351:1982:2492,1206:1529:1798:2103:2041:1782:1403:1689:1517:2022,1959:627:2887:821:2768:2396:2607:2465:240:2128,253:2132:513:2822:2095:1656:1780:250:497:1117,411:2384:874:859:859:1684:2855:1439:314:292,0
10:1.5,1496:2830:1640:1071:2954:1812:51:966:2911:1435,571:2254:813:402:865:1693:1799:225:1996:681,2332:734:447:1811:277:2557:716:1499:2066:71,2784:1412:2155:1545:2114:2945:1369:644:888:2602,2180:2466:2459:2700:2806:2266:2619:914:1460:2038,0
10:1.5,2947:22:1652:49:477:2866:660:847:1093:898,2163:2019:2145:2149:2459:477:16:39:2533:1458,102:1336:215:2422:2817:2120:2449:1896:1725:793,466:1373:637:2867:2919:1495:416:425:1232:874,1521:991:801:531:233:1924:1880:1865:2335:544,0
10:1.5,2399:1020:1911:1796:1383:1601:81:1580:823:1164,2570:725:29:1701:601:1073:908:2456:43:1527,2378:2545:2618:163:970:685:436:813:2755:2519,428:381:604:510:1263:620:65:197:2867:497,444:1202:147:2256:2861:696:223:2260:579:389,0
